id,code,cluster_code,adm0_code,adm0_name,prov_text_code,adm1_code,adm1_name,adm2_code,adm2_name,adm3_code,adm3_name,adm4_code,adm4_name,adm5_code,adm5_name,urban_rural,carto_house_count,carto_pop_count,import_code,status,comment,created_by,updated_by,created_at,updated_at,cluster_id
23,CE228,1453SJ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102105,LITETA,01021051012,,Rural,66,327,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,58
24,CE227,1453SJ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102105,LITETA,01021051017,,Rural,75,327,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,58
25,CE226,1453SJ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102105,LITETA,01021051021,,Rural,163,754,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,58
26,CE225,1453SJ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102105,LITETA,01021051026,,Rural,167,803,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,58
27,CE224,1453SJ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102105,LITETA,01021051031,,Rural,61,358,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,58
28,CE223,1453SJ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102105,LITETA,01021051035,,Rural,78,399,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,58
29,CE222,1453SJ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102105,LITETA,01021051040,,Rural,127,692,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,58
30,CE221,1453SJ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102105,LITETA,01021051044,,Rural,98,512,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,58
31,CE220,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071001,,Rural,89,461,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
32,CE219,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071002,,Rural,129,619,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
33,CE218,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071004,,Rural,94,524,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
34,CE217,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071005,,Rural,94,548,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
35,CE216,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071007,,Rural,116,614,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
36,CE215,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071008,,Rural,133,767,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
37,CE214,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071009,,Rural,114,653,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
38,CE213,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071011,,Rural,88,481,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
39,CE212,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071012,,Rural,72,568,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
40,CE211,2595NM,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102107,MONANGOMBE,01021071014,,Rural,71,459,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,78
41,CE210,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091001,,Rural,153,783,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
42,CE209,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091004,,Rural,92,425,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
43,CE208,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091008,,Rural,81,518,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
44,CE207,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091012,,Rural,69,446,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
45,CE206,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091016,,Rural,101,543,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
46,CE205,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091020,,Rural,82,353,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
47,CE204,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091023,,Rural,123,547,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
48,CE203,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091027,,Rural,82,542,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
49,CE202,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091031,,Rural,83,479,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
50,CE201,3194MP,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102109,MUSWISHI,01021091035,,Rural,97,507,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,248
51,CE200,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101002,,Rural,106,619,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
